LISTADO GENERAL DE PRECIOS,C/U,GANA,V/U
BATIDORAS,$,$,$
CAPACITOR DE 124-148-1,"1,80","1,26","3,06"
CAPACITOR DE 124-148-2,"1,80","1,26","3,06"
CAPACITOR DE 124-148-3,"1,80","1,26","3,06"
CAPACITOR DE 130-156-1,"1,80","1,26","3,06"
CAPACITOR DE 130-156-2,"1,80","1,26","3,06"
CAPACITOR DE 130-156-3,"1,80","1,26","3,06"
CAPACITOR DE 145-175-1,"1,80","1,26","3,06"
CAPACITOR DE 145-175-2,"1,80","1,26","3,06"
CAPACITOR DE 145-175-3,"1,80","1,26","3,06"
CAPACITOR DE 161-193-1,"1,80","1,26","3,06"
CAPACITOR DE 161-193-2,"1,80","1,26","3,06"
CAPACITOR DE 161-193-3,"1,80","1,26","3,06"
CAPACITOR DE 189-227-1,"1,80","1,26","3,06"
CAPACITOR DE 189-227-2,"1,80","1,26","3,06"
CAPACITOR DE 189-227-3,"1,80","1,26","3,06"
CAPACITOR DE 216-259-1,"1,95","1,37","3,32"
CAPACITOR DE 216-259-2,"1,98","1,39","3,37"
CAPACITOR DE 216-259-3,"2,00","1,40","3,40"
CAPACITOR DE 233-280-1,"2,20","1,54","3,74"
CAPACITOR DE 233-280-2,"2,30","1,61","3,91"
CAPACITOR DE 243-292-1,"2,40","1,68","4,08"
CAPACITOR DE 243-292-2,"2,50","1,75","4,25"
CAPACITOR DE 270-294-1,"3,00","2,10","5,10"
CAPACITOR DE 270-294-2,"3,20","2,24","5,44"
CAPACITOR DE 270-294-3,"3,30","2,31","5,61"
CAPACITOR DE 324-389-1,"3,80","2,66","6,46"
CAPACITOR DE 324-389-2,"3,80","2,66","6,46"
CAPACITOR DE 340-408-1,"4,00","2,80","6,80"
CAPACITOR DE 340-408-2,"4,05","2,84","6,89"
CAPACITOR DE 378-454-1,"4,10","2,87","6,97"
CAPACITOR DE 378-454-2,"4,20","2,94","7,14"
CAPACITOR DE 400-480-1,"4,25","2,98","7,23"
CAPACITOR DE 400-480-2,"4,30","3,01","7,31"
CAPACITOR DE 430-516-1,"4,15","2,91","7,06"
CAPACITOR DE 430-516-2,"4,20","2,94","7,14"
CAPACITOR DE 460-552-1,"4,35","3,05","7,40"
CAPACITOR DE 540-648-1,"4,40","3,08","7,48"
CAPACITOR DE 590-708-1,"4,45","3,12","7,57"
CAPACITOR DE 645-774-1,"4,50","3,15","7,65"
CAPACITOR DE 708-845-1,"4,60","3,22","7,82"
CAPACITOR DE 720-864-1,"4,70","3,29","7,99"
CAPACITOR DE 720-864-2,"4,75","3,33","8,08"
CAPACITOR DE 829-995-1,"4,80","3,36","8,16"
CAPACITOR DE 850-1020-1,"4,90","3,43","8,33"
CAPACITOR DE 1000-1200-1,"5,00","3,50","8,50"
CAPACITOR DE 1000-1200-2,"5,50","3,85","9,35"
CAPACITORES DE MARCHA,,,
CAPACITOR  5  MFD,"1,20","0,84","2,04"
"CAPACITOR  7,5 MFD ","1,24","0,87","2,11"
CAPACITOR 10 MFD,"1,28","0,90","2,18"
"CAPACITOR 12,5 MFD","1,30","0,91","2,21"
CAPACITOR 15 MFD,"1,38","0,97","2,35"
"CAPACITOR 17,5 MFD","1,56","1,09","2,65"
CAPACITOR 20 MFD,"1,80","1,26","3,06"
CAPACITOR 25 MFD,"1,89","1,32","3,21"
CAPACITOR 30 MFD,"2,46","1,72","4,18"
CAPACITOR 35MFD,"2,50","1,75","4,25"
CAPACITOR 40 MFD,"2,60","1,82","4,42"
CAPACITOR 45 MFD,"2,78","1,95","4,73"
CAPACITOR 50 MFD,"2,81","1,97","4,78"
CAPACITOR 55 MFD,"2,87","2,01","4,88"
CAPACITOR 60 MFD,"2,89","2,02","4,91"
CAPACITOR 70 MFD,"3,40","2,38","5,78"
CAPACITOR 80 MFD,"4,21","2,95","7,16"
CAPACITOR 410 MFD  410 VAC,"4,00","2,80","6,80"
CAPACITORES  DE 3 POLOS ,,,
CAPACITOR 15 +5 MFD,"1,87","1,31","3,18"
CAPACITOR 20 +5 MFD,"2,00","1,40","3,40"
CAPACITOR 25 + 5 MFD,"2,10","1,47","3,57"
CAPACITOR 30 + 5  MFD,"2,25","1,58","3,83"
CAPACITOR 35 + 5 MFD,"2,40","1,68","4,08"
CAPACITOR 40 + 5 MFD,"2,60","1,82","4,42"
CAPACITOR 45 + 5 MFD,"2,95","2,07","5,02"
CAPACITOR 50 +5 MFD,"3,00","2,10","5,10"
CAPACITOR 55 +5 MFD,"3,20","2,24","5,44"
CAPACITOR 60 +5 MFD ,"3,50","2,45","5,95"
CAPACITORES  UNIDAD CONDENSADORA  FAN,,,
CAPACITOR  1 MFD  250V  Y 440V,"0,60","0,42","1,02"
"CAPACITOR  1,5 MFD  250V  Y 440V","0,60","0,42","1,02"
CAPACITOR  2 MFD  250V  Y 440V,"0,60","0,42","1,02"
"CAPACITOR  1,5 MFD  250V  Y 440V","0,60","0,42","1,02"
CAPACITOR  2  MFD  250V  Y 440V,"0,60","0,42","1,02"
"CAPACITOR  2,5  MFD  250V  Y 440V","0,60","0,42","1,02"
CAPACITOR  3 MFD  250V  Y 440V,"0,60","0,42","1,02"
"CAPACITOR  3,5 MFD  250V  Y 440V","0,60","0,42","1,02"
CAPACITOR  4  MFD  250V  Y 440V,"0,66","0,46","1,12"
"CAPACITOR 4,5  MFD  250V  Y 440V","0,75","0,53","1,28"
CAPACITOR 5 MFD  250V  Y 440V,"0,76","0,53","1,29"
"CAPACITOR 5,5  MFD  250V  Y 440V","0,85","0,60","1,45"
CAPACITOR 6  MFD  250V  Y 440V,"0,86","0,60","1,46"
"CAPACITOR 6,5  MFD  250V  Y 440V","0,90","0,63","1,53"
CAPACITOR 7  MFD  250V  Y 440V,"0,90","0,63","1,53"
"CAPACITOR 7,5  MFD  250V  Y 440V","1,00","0,70","1,70"
CAPACITOR 8   MFD  250V  Y 440V,"1,20","0,84","2,04"
CAPILAR  X ROLLO,,,
CAPILAR O26,"13,05","9,14","22,19"
CAPILAR O31,"14,48","10,14","24,62"
CAPILAR O36,"14,02","9,81","23,83"
CAPILAR O42,"14,94","10,46","25,40"
CAPILAR O46,"15,00","10,50","25,50"
CAPILAR O49,"18,52","12,96","31,48"
CAPILAR O54,"22,20","15,54","37,74"
CAPILAR O59,"23,50","16,45","39,95"
CAPILAR O64,"24,00","16,80","40,80"
CAPILAR O70,"25,87","18,11","43,98"
CAPILAR O72,"26,50","18,55","45,05"
CAPILAR  X METRO,,,
CAPILAR O26,"0,43","0,30","0,73"
CAPILAR O31,"0,45","0,32","0,77"
CAPILAR O36,"0,47","0,33","0,80"
CAPILAR O42,"0,50","0,35","0,85"
CAPILAR O46,"0,50","0,35","0,85"
CAPILAR O49,"0,62","0,43","1,05"
CAPILAR O54,"0,74","0,52","1,26"
CAPILAR O59,"0,78","0,55","1,33"
CAPILAR O64,"0,80","0,56","1,36"
CAPILAR O70,"0,86","0,60","1,46"
CAPILAR O72,"0,88","0,62","1,50"
CEPILLO LIMPIA CERPENTIN,,,
CEPILLO CERPENTIN METALICO,"2,50","1,75","4,25"
CEPILLO CERPENTIN PLASTICO,"2,39","1,67","4,06"
CINTAS  PVC/GOMA ESPUMA / PRESTISTE,,,
CINTA  PVC  NO ADHESIVA EVERWELL 15 MTS,"1,50","1,05","2,55"
