LISTADO GENERAL DE PRECIOS,C/U,GANA,V/U
BATIDORAS,$,$,$
MOTOR  DE LA CONDENSADORA 220V   1/3 HP  1  EJE  1/2  PULGADA  1075 RPM,"90,86","63,60","154,46"
MOTORES DE LA UNIDAD CONDENSADORA  MARCA EMERSON,,,
MOTOR DE LA CONDENSADORA 220V  1868 3/4 HP  1 EJE 1/2  PULGADA   1075 RPM,"74,17","51,92","126,09"
MOTOR DE LA CONDENSADORA 220V   1/2 HP  1 EJE  1/2 PULGADA  1075 RPM,"70,80","49,56","120,36"
MOTORES DE LA UNIDAD CONDENSADORA  DE ARTURITO Y  A/A DE VENTANA,,,
MOTOR DOBLE EJE  125W  220V  YSLA  12060016,"14,00","9,80","23,80"
ORIFICIOS ,,,
ORIFICIO   MARCA EVERWELL,"6,50","4,55","11,05"
ORIFICIO  MARCA  KIELLMAN,"10,95","7,67","18,62"
ORIFICIO  MARCA  DANFOSS,"10,00","7,00","17,00"
"O""RINGS",,,
"O""RING  PEQUEÑO Y MEDIANO","0,59","0,41","1,00"
GRANDE,"1,20","0,84","2,04"
PESOS,, ,
PESOS ELECTRONICOS 50KG,"3,50","2,45","5,95"
PICOS DE SOLDAR  ,,,
PICO PARA SOLDAR CON AUTO ENCENDEDOR EVERWELL,"20,76","14,53","35,29"
PICO PARA SOLDAR SENCILLO EVERWELL,"15,37","10,76","26,13"
PICO PARA SOLDAR SENCILLO MAXLE,"14,41","10,09","24,50"
PICO PARA SOLDAR CON MANGUERA  TK9  MOD RPS-2  AR COMPONENTS ,"24,00","16,80","40,80"
PINZAS  AMPERIMETRICAS,,,
PINZA AMPERIMETRICA DIGITAL  RCAPV AR COMPONENTS,"24,00","16,80","40,80"
PINZA AMPERIMETRO  266,"10,00","7,00","17,00"
PINZA AMPERIMETRO  MT87,"7,50","5,25","12,75"
PINZA RECOGE HERRAMENTAS,"1,97","1,38","3,35"
PRESOSTATOS EVERWELL ,,,
PRESOSTATO PL2580       R22    BAJA  25 Y 80  PSI  CABLE  AZUL,"3,70","2,59","6,29"
PRESOSTATO PH350250  R22    ALTA  250 Y 350  PSI  CABLE  NEGRO,"3,70","2,59","6,29"
PRESOSTATO PL80130     R410  BAJA  80 Y 130  PSI  CABLE  AZUL,"3,70","2,59","6,29"
PRESOSTATO PL2580       R410  ALTA  450 Y 550  PSI  CABLE  ALTA,"3,70","2,59","6,29"
PRESOSTATOS AR. COMPONENTS,,,
PRESOSTATO PR80           R22    BAJA  25 Y 80  PSI  CABLE  AZUL,"3,70","2,59","6,29"
PRESOSTATO PR250        R22    ALTA  250 Y 350  PSI  CABLE  NEGRO,"3,70","2,59","6,29"
PRESOSTATO PR130        R410  BAJA  75 Y 130  PSI  CABLE  AZUL,"3,70","2,59","6,29"
PRESOSTATO PR550        R410  ALTA  450 Y 550  PSI  CABLE  NEGRO,"3,70","2,59","6,29"
PRESOSTATOS  DE ACEITE /TEMPERATURA Y DUAL  MARCA  RANCO ,,,
PRESOSTATO RANCO 1402 PARA BAJA PRESION,"29,00","20,30","49,30"
PRESOSTATO RANCO 1408  PARA BAJA TEMPERATURA,"39,00","27,30","66,30"
PRESOSTATO RANCO 1549 DUAL AUTOMATICO  PARA BALA Y ALTA ,"54,00","37,80","91,80"
PRESOSTATO  RANCO N 5826  PARA PRESION DE ACEITE,"72,00","50,40","122,40"
PRESOSTATOS  DE ACEITE /TEMPERATURA Y DUAL  MARCA  AR. COMPONENTS ,,,
"PRESOSTATO  1402 PARA BAJA PRESION   0-50 PSI  CAPILAR DE 36""   90CM  MARCA  AR COMPONENTS","13,00","9,10","22,10"
PRESOSTATO 1549 DUAL AUTOMATICO  PARA BALA Y ALTA  AR  COMPONENTS,"18,00","12,60","30,60"
PRESOSTATOS  DE ACEITE /TEMPERATURA Y DUAL  MARCA  EVERWELL,,,
PRESOSTATO DE PRESION  100 A 450 PSI  EVERWELL 016-200 RESETEO MANUAL,"20,00","14,00","34,00"
PRESOSTATOS  DE ACEITE /TEMPERATURA Y DUAL  MARCA  QUALITY,,,
"PRESOSTATO 1402 PARA BAJA PRESION   0-50 PSI  CAPILAR DE 36""   90CM MARCA QUALITY ","10,00","7,00","17,00"
PRENSAS,,,
JUEGO DE PRENSA SIN CORTA TUBO  PTK 195,"6,00","4,20","10,20"
JUEGO  DE PRENSA CON CORTA TUBO,"10,00","2,80","12,80"
JUEGO DE PRESNSA  HASTA 1   1/8  CT-203A,"9,00","2,52","11,52"
PARILLAS CONDESADORAS PARA NEVERA,,,
PARILLA CONDESADORA NEVERA UNIVERSAL PEQUEÑA 76CM ,"28,00","19,60","47,60"
PARILLA CONDESADORA NEVERA UNIVERSAL GRANDE 120CM ,"28,00","19,60","47,60"
PROTECTORES DE VOLTAGE PARA REFRIGERACION,,,
PROTECTOR DE BORNERA  110V  ,"12,30","8,61","20,91"
PROTECTOR DE BORNERA 220V  50/60 HZ  30 AMP  HASTA 36 KBTU  EVERWELL EW-V015-220,"12,30","8,61","20,91"
PROTECTOR DE BORNERA 330V,"12,30","8,61","20,91"
PROTECTOR DE ENCHUFE 110V  50/60 HZ 20AMP  HASTA 14 KBTU   EVERWELL EW-V010-120,"9,56","6,69","16,25"
PROTECTOR DE ENCHUFE 330V,"9,56","6,69","16,25"
PROTECTOR DE ENCHUFE  220V  50/60 HZ 20AMP  HASTA  14 KBTU EVERWELL  EW-V010-220,"9,56","6,69","16,25"
PROTECTOR PARA A/C AR COMPONENT  RPTAU-2,"10,00","7,00","17,00"
PROTECTOR MULTIPLE MONOFASICO  220V   R-PMI-2 AR COMPONENTS 36000 BTU Y HASTA  60000 BTU,"14,00","9,80","23,80"
PROTECTOR PARA A/C  220V  35000BTU  AR COMPONENTS,"10,00","7,00","17,00"
PROTECTOR CONTRA ALTO Y BAJO VOLTAJE A/A  Y REFRIGERACION  220V   GSM -R2208/3  EXCELINE,"22,00","15,40","37,40"
PROTECTOR PROTECTORES MONOFASICO 220V    EXCELINE,"17,00","11,90","28,90"
,,"0,2",V/U
REFRIGERANTES POR BOMBONA,, GANA $,$
"REF. BOMBONA   R22 13,6 KG DESECHABLE","71,00","14,20","85,20"
"REF. BOMBONA   R134  13,6 KG DESECHABLE","67,00","13,40","80,40"
"REF. BOMBONA R404  X 10,9 KG","67,00","13,40","80,40"
"REF. BOMBONA R410  X  11,3 KG","67,00","13,40","80,40"
REF. BOMBONA  R12 X  56 KG,"550,00","110,00","660,00"
,,,V/U
REFRIGERANTES POR LATICA Y POR  KILO,,,$
R22,,,
R134,,,
R404,,,
R410,,,
R12,,,
R22    LATA  DE  750 GR,,,
R134  LATA  1KG,,,
R134  LATA  750 GR,,,
R134  LATA 340 GR,,,
R404  LATA  600GR,,,
R410  LATA 600GR,,,
PROPANO  O PRESTOLAY  LATA DE 400GR ,,,
RELAYS,,,
RELAY PTC UNIVERSAL AMERICOLD  MARRON,"0,84","0,59","1,43"
RELAY  LG / HAIER  NEGRO ,"1,90","1,33","3,23"
RELAY DANFOSS LARGO  1/8  1/6  1/5  1/4  1/3,"3,50","2,45","5,95"
RELAY DANFOSS CORTO  1/8  1/6  1/5  1/4  1/3,"3,50","2,45","5,95"
RELAY DANFOSS   1/2   COMBINADO,"2,00","1,40","3,40"
2%,"3,50","2,45","5,95"
RELAY POTENCIAL P63 Y 64,"7,00","4,90","11,90"
RELAY POTENCIAL P63 110V  Y 64   220V  AR COMPONENTS  ,"5,00","3,50","8,50"
RELAY REDONDO 1/3  Y  1/4,"2,50","1,75","4,25"
RELAY TARJETA A/A EVAP 24V,"2,00","1,40","3,40"
RELAY TIPO  CUCARACHITA  1/12  1 1/2  HP,"2,00","1,40","3,40"
RELAY TIPO BOBINA,"2,00","1,40","3,40"
RELOJ  DE GLICERINA,,,
RELO DE GLICERINA  PRESION ALTA  0-500  PSI,"8,00","5,60","13,60"
RELO DE GLICERINA  PRESION  BAJA  0-250  PSI,"8,00","5,60","13,60"
RELOJ /TIMER PARA NEVERAS,,,
RELOJ  PARAGON PARA CAVA  220V  8145-20EX  40 AMP,"75,00","52,50","127,50"
RELOJ  PARAGON PARA CAVA DUAL 110V -220V  TODO EN 1,"75,00","52,50","127,50"
RELOJ DE NEVERA HEAVEN DUTY MEXICANO  6H  X 21 MIN,"6,80","4,76","11,56"
RELOJ DE NEVERA HEAVEN DUTY CHINO   6H  X 21 MIN,"5,80","4,06","9,86"
RELOJ DE NEVERA  PARAGON  6H X 21MIN  MEXICANO,"6,80","4,76","11,56"
RELOJ DE NEVERA  ROBERT SSHAW  6H X 21MIN  A-1401  MEXICANO,"6,80","4,76","11,56"
RELOJ DE NEVERA  UNIVERSAL DTC-621  6H X 21MIN EVERWELL/MASLEX  CHINO,"3,30","2,31","5,61"
RELOJ DE NEVERA  UNIVERSAL  DTC-820 8H X 21MIN  EVERWELL  CHINO,"3,30","2,31","5,61"
RELOJ DE NEVERA METALICOS  ELECTROLUX  6H/8H X 21M,"5,80","4,06","9,86"
RELOJ DE NEVERA LG 7H X 54MIN  110V  39-0012  MASLEX,"5,80","4,06","9,86"
RELOJ DE NEVERA SAMSUNG 6H X 40MIN  110V  39-0015  MASLEX,"5,80","4,06","9,86"
RELOJ DE NEVERA HAIER  2286AV,"5,80","4,06","9,86"
RELOJ DE NEVERA  MABE 10H X 21 MIN   ,"5,80","4,06","9,86"
RELOJ DE NEVERA  MABE 10H X 30  MIN   TMDJX35RB9  1432   ,"5,80","4,06","9,86"
RELOJ DE NEVERA  LG  /SAMSUNG 1 ARRIBA X 3 ABAJO  6H X 21MIN 8H807 ,"5,80","4,06","9,86"
RELOJ DE NEVERA WHIRPOOL  6H X 21MIN  SANKYO D2   1432,"5,80","4,06","9,86"
RELOJ DE NEVERA  LG   6H X 40MIN  60HZ  7H 54MIN 50HZ TMDE  706SA1,"5,80","4,06","9,86"
RELOJ DE PRESION PARA MANOMETROS,,,
RELOJ DE ALTA Y BAJA PRESION PARA MANOMETRO EVERWELL,"3,20","2,24","5,44"
RESISTENCIAS,,,
RESISTENCIAS DESCONGELACION DE HIERRO  36  X  13 CM  FB1-01  300W  220V,"12,00","8,40","20,40"
RESISTENCIAS DESCONGELACION DE HIERRO  37CM MABE,"5,00","3,50","8,50"
RESISTENCIAS DESCONGELACION DE HIERRO  38CM ,"5,50","3,85","9,35"
RESISTENCIAS DESCONGELACION  DE HIERRO  M40 MABE 120V 280W  40 X 9 CM,"5,60","3,92","9,52"
RESISTENCIAS DESCONGELACION DE HIERRO  41CM MABE,"5,43","3,80","9,23"
RESISTENCIAS DESCONGELACION DE HIERRO  42CM,"5,70","3,99","9,69"
"RESISTENCIAS DESCONGELACION DE HIERRO  V-16 -1 410W 220V  45,1 X 6,7  CM DIFUSOR 3/4","12,58","8,81","21,39"
RESISTENCIAS DESCONGELACION DE HIERRO  42 X 7 CM,"14,00","9,80","23,80"
RESISTENCIAS DESCONGELACION DE HIERRO  52CM,"6,50","4,55","11,05"
RESISTENCIAS DESCONGELACION DE HIERRO  53CM,"6,50","4,55","11,05"
RESISTENCIAS DESCONGELACION DE HIERRO  56CM MABE,"5,50","3,85","9,35"
RESISTENCIAS DESCONGELACION DE HIERRO  60CM,"6,70","4,69","11,39"
RESISTENCIAS DESCONGELACION DE HIERRO RECTA  80CM 300W  PUNTA VOLCAN ,"8,00","5,60","13,60"
RESISTENCIAS DESCONGELACION DE HIERRO  46 + 6 CM,"6,80","4,76","11,56"
"RESISTENCIAS DESCONGELACION DE VIDRIO 10"" GENERICA  25 cm","3,20","2,24","5,44"
"RESISTENCIAS DESCONGELACION DE VIDRIO 12"" GENERICA  30 cm","3,40","2,38","5,78"
"RESISTENCIAS DESCONGELACION DE VIDRIO 13"" GENERICA  32,5 cm","3,50","2,45","5,95"
"RESISTENCIAS DESCONGELACION DE VIDRIO 14"" GENERICA  35 cm","3,60","2,52","6,12"
"RESISTENCIAS DESCONGELACION DE VIDRIO 15"" GENERICA  37,5  cm","3,70","2,59","6,29"
"RESISTENCIAS DESCONGELACION DE VIDRIO 16"" GENERICA  40 cm","3,80","2,66","6,46"
"RESISTENCIAS DESCONGELACION DE VIDRIO 17"" GENERICA  42,5 cm","3,85","2,70","6,55"
"RESISTENCIAS DESCONGELACION DE VIDRIO 18"" GENERICA  45 cm","3,90","2,73","6,63"
"RESISTENCIAS DESCONGELACION DE VIDRIO 261  23"" GENERICA  57,5CM ","6,00","4,20","10,20"
"RESISTENCIAS DESCONGELACION DE VIDRIO 263  22"" GENERICA  55CM ","6,60","4,62","11,22"
"RESISTENCIAS DESCONGELACION DE VIDRIO 264  9"" DOBLE GENERICA  22,5  cm","6,70","4,69","11,39"
"RESISTENCIAS DESCONGELACION DE VIDRIO 303  9"" DOBLE GENERICA   22,5 cm","6,80","4,76","11,56"
"RESISTENCIAS DESCONGELACION DE VIDRIO 306  12"" DOBLE GENERICA  30 cm","7,00","4,90","11,90"
RESISTENCIAS DESCONGELACION DE VIDRIO CON BASE PARA NEV. GERENAL ELECTRIC PROFILE 10053 ,"10,50","7,35","17,85"
RESISTENCIAS DESCONGELACION DE VIDRIO CON BASE PARA NEV. GENERAL ELECTRIC PROFILE 10055 ,"13,50","9,45","22,95"
RESISTENCIAS DESCONGELACION DE VIDRIO CON BASE  WR51*442,"7,53","5,27","12,80"
RESISTENCIAS DESCONGELACION DE VIDRIO CON BASE  WR51*10101 ,"7,53","5,27","12,80"
RESISTENCIAS DESCONGELACION DE VIDRIO CON BASE  WR51*443,"7,53","5,27","12,80"
RETARDADOR ,,,
"RETARDADOR  18 A 240 VAC  1,5 AMP 0,03 A 10 MINUTOS EVERWELL DOM 068","3,50","2,45","5,95"
SENSORES,,,
SENSOR  AMRILLO/AZUL/BLANCO /NEGRO,"3,50","2,45","5,95"
SENSOR  NEV ELECTROLUX   TR-61364C,"2,00","1,40","3,40"
SENSOR 3 CABLES CON FUSIBLE,"3,70","2,59","6,29"
SENSOR CON FUSIBLE,"3,00","2,10","5,10"
SENSOR DE AMBIENTE Y TEMP AIRE ACONDICONADO 5 OHM/ 8 OHM / 15 OHM / 20 OHM,"1,80","1,26","3,06"
SENSOR DE AMBIENTE Y TEMP AIRE ACONDICONADO SAMSUNG B25/50-0291,"1,80","1,26","3,06"
SENSOR DE AMBIENTE Y TEMP AIRE ACONDICONADO LG TWIN-L,"1,80","1,26","3,06"
SENSOR DE AMBIENTE Y TEMP AIRE ACONDICONADO HAIER /MIDEA/CHIGO TWIN-VOL,"1,80","1,26","3,06"
STAR KITS,,,
STAR KIT   NEVERA  1/4  1/3,"5,23","3,66","8,89"
STAR KIT A/A  300%,"3,86","2,70","6,56"
STAR KIT A/A  500%,"3,86","2,70","6,56"
SUPERVISORES ELECTRICOS,,,
SUPERVISOR TRIFASICO  220VAC USTD 220  CABLE CABLE PROTEKTOR,"15,50","10,85","26,35"
SWITCH,,,
SWITCH DE 7 VELOCIDADES PARA  AIRE ACONDICIONADO,"2,00","1,40","3,40"
SWITCH DE NEVERA  PEQUEÑO  Y GRANDE,"1,00","0,70","1,70"
TARJETAS,,,
TARJETA UNIVERSAL A/A CON C/REMOTO  S/DISPLAY MCRC-001 EVERWELL,"12,45","8,72","21,17"
TARJETA UNIVERSAL A/A  CON DISPLAY QDU-10A  EVERWELL ,"22,00","15,40","37,40"
TERMICOS,,,
TERMICOS PTC PARA NEVERA  GALLETICA,"0,96","0,67","1,63"
TERMICOS UNIVERSAL  PARA NEVERA  KLIXON,"0,96","0,67","1,63"
"TERMICOS UNIVERSAL PARA A/ACONDICIONADO 8000,  9000,  10000, 12000,18000,24000 BTU 110V - 220V","0,96","0,67","1,63"
TERMINALES,,,
TERMINALES AMARILLOS Y AZUL   X 100,"5,00","3,50","8,50"
TERMINALES AMARILLO POR UNIDAD,"0,05","0,04","0,09"
TERMOMETRO,,,
TERMOMETRO DIGITAL PEQUEÑO EVERWELL,"2,80","1,96","4,76"
"TERMOMETRO RF60  -40  TO 20C  CAPILAR 1,20 MTS","8,47","5,93","14,40"
TERMOMETRO PARA CAVA  DIGITAL 4060  RTF   -50C  + 200C  AR COMPONENTS,"9,00","6,30","15,30"
TERMOMETRO PARA CAVA  DIGITAL  MULTIUSO  RTM-D,"4,00","2,80","6,80"
THERMOSTATOS,,,
THERMOSTATO AMBIENTAL DE LUJO  TH-AC10  EVERWELL,"19,70","13,79","33,49"
THERMOSTATO  A/A 12000 BTU       T004,"3,00","2,10","5,10"
THERMOSTATO  A/A 18000 BTU       T008,"3,00","2,10","5,10"
THERMOSTATO  A/A 24000 BTU   A30-A1884,"3,00","2,10","5,10"
THERMOSTATO  CAVA -30+30,"4,50","3,15","7,65"
"THERMOSTATO  NEVERA 1117   CONGELCION  -32C   CAPILAR 1,20 MTS","3,00","2,10","5,10"
"THERMOSTATO  NEVERA 1125   CONGELCION  -18C   CAPILAR  1,20 MTS","3,00","2,10","5,10"
"THERMOSTATO  NEVERA 1126   CONGELCION  -24C  CAPILAR 1,20 MTS","3,00","2,10","5,10"
"THERMOSTATO  NEVERA 1127  CONSERVACION  1,5 C  CAPILAR  1,20 MTS","3,00","2,10","5,10"
THERMOSTATO  NEVERA 1133  CONGELACION  -18C  CAPILAR  1MTS,"3,00","2,10","5,10"
THERMOSTATO  NEVERA NEVERA MABE P002,"3,00","2,10","5,10"
THERMOSTATO  NEVERA WPF-27A  110VAC,"3,00","2,10","5,10"
THERMOSTATO A/A DIGITAL HONYWELL,"19,00","13,30","32,30"
THERMOSTATO AMBIENTAL DE PARED 24V  RT-107  3 VELOVIDADES EVERWELL,"7,00","4,90","11,90"
THERMOSTATO PARA SALOM DE 24 VAC  TH 57,"6,00","4,20","10,20"
TRANSFORMADORES,,,
TRANSFORMADOR  ENFORCER,"6,00","4,20","10,20"
TRANSFORMADOR  24V - 220V AC  EDISSON,"8,80","6,16","14,96"
TRANSFORMADOR 40VA  IN 120/240V  OUT 24 VAC  EVERWELL,"6,75","4,73","11,48"
TRANSFORMADOR 50VA   IN 120/240V OUT 24 VAC   EVERWELL,"6,79","4,75","11,54"
"TRANSFORMADOR MINI SPLIT 220V 50/60 HZ 13,5V ,25AMP","3,33","2,33","5,66"
"TUBERIA DE COBRE FLEXIBLE  X ROLLO DE 15,25  MTS",,"0,50",V/U  
"TUBERIA DE COBRE FLEXIBLE DE 1/8""    X  ROLLO DE 15,24 MTS","16,75","8,38","25,13"
"TUBERIA DE COBRE FLEXIBLE DE 3/16""  X  ROLLO DE 15,24 MTS","16,50","8,25","24,75"
"TUBERIA DE COBRE FLEXIBLE DE 1/4""    X   ROLLO DE 15,24 MTS","23,00","11,50","34,50"
"TUBERIA DE COBRE FLEFIBLE DE 5/16""  X  ROLLO DE 15,24 MTS","28,10","14,05","42,15"
"TUBERIA DE COBRE FLEXIBLE DE 3/8""   X  ROLLO DE 15,24  MTS","38,00","19,00","57,00"
"TUBERIA DE COBRE FLEXIBLE DE 1/2""   X  ROLLO DE 15,24 MTS","51,00","25,50","76,50"
"TUBERIA DE COBRE FLEXIBLE DE 5/ 8""  X  ROLLO DE 15,24 MTS","70,00","35,00","105,00"
"TUBERIA DE COBRE FLEXIBLE DE 3/4""   X  ROLLO DE 15,24 MTS","87,00","43,50","130,50"
"TUBERIA DE COBRE FLEXIBLE DE 7/8""   X  ROLLO DE 15,24 MTS","130,00","65,00","195,00"
"TUBERIA DE COBRE FLEXIBLE DE  1""      X ROLLO DE 15,24  MTS","140,00","70,00","210,00"
TUBERIA DE COBRE FLEXIBLE  X METRO  /15,,"0,60",V/U  
"TUBERIA DE COBRE FLEXIBLE DE 1/8""    X MTS","1,12","0,67","1,79"
"TUBERIA DE COBRE FLEXIBLE DE 3/16""  X MTS","1,10","0,66","1,76"
"TUBERIA DE COBRE FLEXIBLE DE 1/4""   X MTS","1,53","0,92","2,45"
"TUBERIA DE COBRE FLEFIBLE DE 5/16"" X MTS","1,87","1,12","3,00"
"TUBERIA DE COBRE FLEXIBLE DE 3/8""   X MTS","2,53","1,52","4,05"
"TUBERIA DE COBRE FLEXIBLE DE 1/2""   X MTS","3,40","2,04","5,44"
"TUBERIA DE COBRE FLEXIBLE DE 5/ 8""  X MTS","4,67","2,80","7,47"
"TUBERIA DE COBRE FLEXIBLE DE 3/4""  X MTS","5,80","3,48","9,28"
"TUBERIA DE COBRE FLEXIBLE DE 7/8""  X MTS","8,67","5,20","13,87"
"TUBERIA DE COBRE FLEXIBLE DE  1""    X MTS","9,33","5,60","14,93"
TUBERIA DE COBRE  RIGIDA X 6 MTS,,,
TUBERIA DE COBRE RIGIDA DE 1/4 INT * 3/8 EXTERNA,"2,44","1,71","4,15"
TUBERIA DE COBRE RIGIDA DE 5/8 INT * 3/4 EXTERNA,"6,60","4,62","11,22"
TUBERIA DE COBRE RIGIDA DE 3/4 INT * 7/8 EXTERNA,"8,29","5,80","14,09"
"TUBERIA DE COBRE RIGIDA DE 1 "" INT * 1- 1/8 EXTERNA","11,93","8,35","20,28"
TUBERIA DE PLASTICO FLEXIBLE  X  MTS,,,
"TUBERIA PLASTCA  DE 5/8""","3,60","2,52","6,12"
"TUBERIA PLASTICA  DE 3/8""","1,82","1,27","3,09"
"TUBERIA PLASTICA DE 1/2""","2,07","1,45","3,52"
TURBINA DE UNIDAD EVAPORADORA A/A,,,
"TURBINA A/A  SPLIT BUJE EXTERNO 093 X 633    71,50 CM LARGO","25,00","17,50","42,50"
"TURBINA A/A  SPLIT BUJE EXTERNO 098 X 715    63,30 CM LARGO","20,00","14,00","34,00"
UNIDAD CONDENSADORA CUBIGEL ,,,
UNIDAD CONDENSADORA  CMPT14LD3N   1/2  HP  (2535 BTU)  R404A  115V  60HZ CSR LBP,"247,00","176,36","423,36"
VALVULAS DE DESCARGA,,,
VALVULA  DE DESCARGA REFRIGERANTE DE LATA 1 KL,"2,09","1,46","3,55"
VALVULA  DE DESCARGA REFRIGERANTE DE LATA R12 Y R134A LCT-339,"2,04","1,43","3,47"
VALVULAS DE CARGA DE 2 Y 3  VIAS PARA UNIDAD EXTERNA ,,,
"VALVULA DE CARGA  3 VIAS   PARA UNIDAD EXTERNA A/A    1/2""","4,50","3,15","7,65"
"VALVULA DE CARGA  2 VIAS   PARA UNIDAD EXTERNA A/A    1/4""","3,50","2,45","5,95"
"VALVULA DE CARGA  3 VIAS    PARA UNIDAD EXTERNA A/A   5/8""","6,00","4,20","10,20"
"VALVULA DE CARGA  2 VIAS    PARA UNIDAD EXTERNA A/A   3/8""","3,80","2,66","6,46"
VALVULAS DE EXPANSION MARCA  EVERWELL,,,
VALVULA DE EXP/ EQU EXTERNO  1/4 X 1/2  R22 EVERWELL,"18,00","12,60","30,60"
VALVULA DE EXP/  EQU  INTERNO  1/4 X 1/2 R22 EVERWELL,"18,00","12,60","30,60"
VALVULAS DE EXPANSION MARCA  DANFOSS,,,
VALVULA DE EXP  TX2  EQU EXTERNO  3/8 X 1/2  R22  ,"36,71","25,70","62,41"
VALVULA DE EXP TX2  EQU  INTERNO  3/8 X 1/2 R22  068Z3206,"36,71","25,70","62,41"
VALVULA DE EXP TN2  EQU INTERNO  3/8  X 1/2  R134  068Z3346,"35,00","24,50","59,50"
VALVULA DE EXP TN2 EQU  EXTERNO  3/8 X 1/2 R134  068Z3348,"35,00","24,50","59,50"
VALVULA DE EXP TS2 EQU  INTERNO  3/8 X 1/2 R404A  068Z3400,"35,00","24,50","59,50"
VALVULA DE EXP TS2 EQU  INTERNO  3/8 X 1/2 R404A  068Z3400,"35,00","24,50","59,50"
VALVULAS DE EXPANSION MARCA  KIELMANN,,,
VALVULA DE EXP/ EQU EXTERNO  3/8 X 1/2  R22  KIELMANN,"34,43","24,10","58,53"
VALVULA DE EXP/  EQU  INTERNO  3/8 X 1/2 R22  KIELMANN,"36,74","25,72","62,46"
VALVULA DE EXP/ EQU EXTERNO  3/8  X 1/2  R134 KIELMANN,"34,43","24,10","58,53"
VALVULA DE EXP/  EQU  INTERNO  3/8 X 1/2 R134  KIELMANN,"36,74","25,72","62,46"
VALVULAS DE PASO DE BOLA,,,
VALVULA DE PASO DE BOLA  1/4 /  3/8 /  1/2 / 5/8,"10,00","7,00","17,00"
VALVULAS DE SERVICIO/PINCHAS/RESTRICTORAS,,,
VALVULA DE SERVICIO,"0,60","0,42","1,02"
VALVULA PINCHAR,"1,89","1,32","3,21"
VALVULA PINCHAR  LATA  ,"1,89","1,32","3,21"
VALVULA RESTRICTORA HASTA 36000 BTU,"0,89","0,62","1,51"
VALVULA SOLENOIDE,,,
VALVULAS SELENOIDES 1/4         115V      EVERWELL,"15,00","10,50","25,50"
VALVULAS SELENOIDES 1/4         115V      QUALITY,"15,00","10,50","25,50"
VALVULAS SELENOIDES 1/4    208/230V     EVERWELL,"20,00","14,00","34,00"
VALVULAS SELENOIDES 1/4    208/230V     QUALITY,"20,00","14,00","34,00"
VALVULAS SELENOIDES 3/8         115V      EVERWELL,"15,00","10,50","25,50"
VALVULAS SELENOIDES 3/8         115V      QUALITY,"15,00","10,50","25,50"
VALVULAS SELENOIDES 3/8         115V      CASTEL  ITALIANA,"20,00","14,00","34,00"
VALVULAS SELENOIDES 3/8    208/230V     EVERWELL,"20,00","14,00","34,00"
VALVULAS SELENOIDES 3/8    208/230V     QUALITY,"20,00","14,00","34,00"
VALVULAS SELENOIDES 1/2         115V      EVERWELL,"15,00","10,50","25,50"
VALVULAS SELENOIDES 1/2         115V      QUALITY,"15,00","10,50","25,50"
VALVULAS SELENOIDES 1/2    208/230V     EVERWELL,"20,00","14,00","34,00"
VALVULAS SELENOIDES 1/2    208/230V     QUALITY,"20,00","14,00","34,00"
VALVULAS SELENOIDES 1/2         115V      CASTEL  ITALIANA,"22,00","15,40","37,40"
VALVULAS SELENOIDES 5/8         115V      EVERWELL,"15,00","10,50","25,50"
VALVULAS SELENOIDES 5/8         115V      QUALITY,"15,00","10,50","25,50"
VALVULAS SELENOIDES 5/8    208/230V     EVERWELL,"20,00","14,00","34,00"
VALVULAS SELENOIDES 5/8    208/230V     QUALITY,"20,00","14,00","34,00"
VALVULA PASO DE AGUA,,,
VALVULA ENTRADA DE AGUA  XJD-160,"6,00","4,20","10,20"
VARILLAS DE PLATA,,,
VARILLA DE PLATA AL 0%,"0,60","0,42","1,02"
VARILLA DE PLATA AL 2%,"0,97","0,68","1,65"
VARILLA DE PLATA AL 5%,"1,80","1,26","3,06"
VARILLA DE PLATA AL 15%,"1,65","1,16","2,81"
VARILLA DE BRONCE CON FUNDENTE,"3,00","2,10","5,10"
VISOR DE LIQUIDO AR COMPONENTS ,,,
VISOR DE LIQUIDO  ROSCABLE  DE 1/4,"4,00","2,80","6,80"
VISOR DE LIQUIDO  ROSCABLE  DE 1/2,"5,00","3,50","8,50"
VISOR DE LIQUIDO  ROSCABLE  DE 5/8,"6,00","4,20","10,20"
VENTILADORES  ,,,
VENTILADOR AXIAL 110V 1PH 60 HZ 350MM   1625RPM   FM3 - 45350-1 ,"41,30","28,91","70,21"
VENTILADOR AXIAL 230V  60 HZ   1625RPM   YWF4E350  RF27B03DY  ,"41,70","29,19","70,89"
"VENTILADOE EXTRACTOR  FAN  10"" CON MOTOR 18WATT","24,12","16,88","41,00"
"VENTILADOE AXIAL  120 X 120 X 300  4""   110VAC","12,00","8,40","20,40"
"VENTILADOE AXIAL  XD22060AC   8""   220VAC  0.38AMP","18,00","12,60","30,60"
,,,
 ,,,
